session_id,shift_description,date,start_time,duration_minutes,end_time,start_datetime,end_datetime,campuses,campus_count,tasks,task_count,baseline_invigilator_count,code_date_part,code_shift_number,description_shift_numbers,code_date_matches_dataset_date,code_shift_matches_description,date_consistent_within_session,start_time_consistent_within_session,duration_consistent_within_session,description_shift_consistent_within_session
20260527_5,"Thứ 4, 27/05/2026, Ca 5: 18g15-20g45",2026-05-27,18:15,150.0,20:45,2026-05-27T18:15:00,2026-05-27T20:45:00,Cơ sở 1,1,LTK_CBCT; LTK_Trưởng HĐ,2,4,20260527,5,5,True,True,True,True,True,True
20260528_1,"Thứ 5, 28/05/2026, Ca 1: 07g00-09g30",2026-05-28,07:00,150.0,09:30,2026-05-28T07:00:00,2026-05-28T09:30:00,Cơ sở 1,1,LTK_Trưởng HĐ,1,1,20260528,1,1,True,True,True,True,True,True
20260528_2,"Thứ 5, 28/05/2026, Ca 2: 09g30-12g00",2026-05-28,09:30,150.0,12:00,2026-05-28T09:30:00,2026-05-28T12:00:00,Cơ sở 1,1,LTK_Trưởng HĐ,1,1,20260528,2,2,True,True,True,True,True,True
20260528_3,"Thứ 5, 28/05/2026, Ca 3: 13g00-15g30",2026-05-28,13:00,150.0,15:30,2026-05-28T13:00:00,2026-05-28T15:30:00,Cơ sở 1; Cơ sở 2,2,DiAn_CBCT; DiAn_Thư ký; LTK_Trưởng HĐ,3,15,20260528,3,3,True,True,True,True,True,True
20260528_4,"Thứ 5, 28/05/2026, Ca 4: 15g30-18g00",2026-05-28,15:30,150.0,18:00,2026-05-28T15:30:00,2026-05-28T18:00:00,Cơ sở 1,1,LTK_Trưởng HĐ,1,1,20260528,4,4,True,True,True,True,True,True
20260528_5,"Thứ 5, 28/05/2026, Ca 5: 18g15-20g45",2026-05-28,18:15,150.0,20:45,2026-05-28T18:15:00,2026-05-28T20:45:00,Cơ sở 1,1,LTK_CBCT; LTK_Trưởng HĐ,2,3,20260528,5,5,True,True,True,True,True,True
20260529_1,"Thứ 6, 29/05/2026, Ca 1: 07g00-09g30",2026-05-29,07:00,150.0,09:30,2026-05-29T07:00:00,2026-05-29T09:30:00,Cơ sở 1; Cơ sở 2,2,DiAn_CBCT; DiAn_Thư ký; LTK_Trưởng HĐ,3,32,20260529,1,1,True,True,True,True,True,True
20260529_2,"Thứ 6, 29/05/2026, Ca 2: 09g30-12g00",2026-05-29,09:30,150.0,12:00,2026-05-29T09:30:00,2026-05-29T12:00:00,Cơ sở 1,1,LTK_Trưởng HĐ,1,1,20260529,2,2,True,True,True,True,True,True
20260529_3,"Thứ 6, 29/05/2026, Ca 3: 13g00-15g30",2026-05-29,13:00,150.0,15:30,2026-05-29T13:00:00,2026-05-29T15:30:00,Cơ sở 1,1,LTK_Trưởng HĐ,1,1,20260529,3,3,True,True,True,True,True,True
20260529_5,"Thứ 6, 29/05/2026, Ca 5: 18g15-20g45",2026-05-29,18:15,150.0,20:45,2026-05-29T18:15:00,2026-05-29T20:45:00,Cơ sở 1,1,LTK_CBCT,1,3,20260529,5,5,True,True,True,True,True,True
20260530_2,"Thứ 7, 30/05/2026, Ca 2: 09g30-12g00",2026-05-30,09:30,150.0,12:00,2026-05-30T09:30:00,2026-05-30T12:00:00,Cơ sở 1,1,LTK_CBCT,1,4,20260530,2,2,True,True,True,True,True,True
20260530_3,"Thứ 7, 30/05/2026, Ca 3: 13g00-15g30",2026-05-30,13:00,150.0,15:30,2026-05-30T13:00:00,2026-05-30T15:30:00,Cơ sở 1,1,LTK_CBCT,1,4,20260530,3,3,True,True,True,True,True,True
20260531_2,"Chủ Nhật, 31/05/2026, Ca 2: 09g30-12g00",2026-05-31,09:30,150.0,12:00,2026-05-31T09:30:00,2026-05-31T12:00:00,Cơ sở 1,1,LTK_CBCT,1,4,20260531,2,2,True,True,True,True,True,True
20260531_3,"Chủ Nhật, 31/05/2026, Ca 3: 13g00-15g30",2026-05-31,13:00,150.0,15:30,2026-05-31T13:00:00,2026-05-31T15:30:00,Cơ sở 1,1,LTK_CBCT,1,4,20260531,3,3,True,True,True,True,True,True
20260601_1,"Thứ 2, 01/06/2026, Ca 1: 07g00-09g30",2026-06-01,07:00,150.0,09:30,2026-06-01T07:00:00,2026-06-01T09:30:00,Cơ sở 2,1,DiAn_Trưởng HĐ,1,1,20260601,1,1,True,True,True,True,True,True
20260601_2,"Thứ 2, 01/06/2026, Ca 2: 09g30-12g00",2026-06-01,09:30,150.0,12:00,2026-06-01T09:30:00,2026-06-01T12:00:00,Cơ sở 2,1,DiAn_CBCT; DiAn_Thư ký; DiAn_Trưởng HĐ,3,32,20260601,2,2,True,True,True,True,True,True
20260601_3,"Thứ 2, 01/06/2026, Ca 3: 13g00-15g30",2026-06-01,13:00,150.0,15:30,2026-06-01T13:00:00,2026-06-01T15:30:00,Cơ sở 2,1,DiAn_CBCT; DiAn_Trưởng HĐ,2,28,20260601,3,3,True,True,True,True,True,True
20260601_4,"Thứ 2, 01/06/2026, Ca 4: 15g30-18g00",2026-06-01,15:30,150.0,18:00,2026-06-01T15:30:00,2026-06-01T18:00:00,Cơ sở 2,1,DiAn_Trưởng HĐ,1,1,20260601,4,4,True,True,True,True,True,True
20260601_5,"Thứ 2, 01/06/2026, Ca 5: 18g15-20g45",2026-06-01,18:15,150.0,20:45,2026-06-01T18:15:00,2026-06-01T20:45:00,Cơ sở 1,1,LTK_CBCT,1,1,20260601,5,5,True,True,True,True,True,True
20260602_1,"Thứ 3, 02/06/2026, Ca 1: 07g00-09g30",2026-06-02,07:00,150.0,09:30,2026-06-02T07:00:00,2026-06-02T09:30:00,Cơ sở 2,1,DiAn_Trưởng HĐ,1,1,20260602,1,1,True,True,True,True,True,True
20260602_2,"Thứ 3, 02/06/2026, Ca 2: 09g30-12g00",2026-06-02,09:30,150.0,12:00,2026-06-02T09:30:00,2026-06-02T12:00:00,Cơ sở 2,1,DiAn_CBCT; DiAn_Thư ký; DiAn_Trưởng HĐ,3,32,20260602,2,2,True,True,True,True,True,True
20260602_3,"Thứ 3, 02/06/2026, Ca 3: 13g00-15g30",2026-06-02,13:00,150.0,15:30,2026-06-02T13:00:00,2026-06-02T15:30:00,Cơ sở 2,1,DiAn_CBCT; DiAn_Thư ký; DiAn_Trưởng HĐ,3,32,20260602,3,3,True,True,True,True,True,True
20260602_4,"Thứ 3, 02/06/2026, Ca 4: 15g30-18g00",2026-06-02,15:30,150.0,18:00,2026-06-02T15:30:00,2026-06-02T18:00:00,Cơ sở 2,1,DiAn_CBCT; DiAn_Thư ký; DiAn_Trưởng HĐ,3,15,20260602,4,4,True,True,True,True,True,True
20260602_5,"Thứ 3, 02/06/2026, Ca 5: 18g15-20g45",2026-06-02,18:15,150.0,20:45,2026-06-02T18:15:00,2026-06-02T20:45:00,Cơ sở 1,1,LTK_CBCT,1,2,20260602,5,5,True,True,True,True,True,True
20260603_1,"Thứ 4, 03/06/2026, Ca 1: 07g00-09g30",2026-06-03,07:00,150.0,09:30,2026-06-03T07:00:00,2026-06-03T09:30:00,Cơ sở 2,1,DiAn_CBCT; DiAn_Thư ký,2,31,20260603,1,1,True,True,True,True,True,True
20260603_2,"Thứ 4, 03/06/2026, Ca 2: 09g30-12g00",2026-06-03,09:30,150.0,12:00,2026-06-03T09:30:00,2026-06-03T12:00:00,Cơ sở 2,1,DiAn_CBCT; DiAn_Thư ký,2,31,20260603,2,2,True,True,True,True,True,True
20260603_3,"Thứ 4, 03/06/2026, Ca 3: 13g00-15g30",2026-06-03,13:00,150.0,15:30,2026-06-03T13:00:00,2026-06-03T15:30:00,Cơ sở 2,1,DiAn_CBCT; DiAn_Thư ký,2,31,20260603,3,3,True,True,True,True,True,True
20260603_4,"Thứ 4, 03/06/2026, Ca 4: 15g30-18g00",2026-06-03,15:30,150.0,18:00,2026-06-03T15:30:00,2026-06-03T18:00:00,Cơ sở 2,1,DiAn_CBCT; DiAn_Thư ký,2,21,20260603,4,4,True,True,True,True,True,True
20260604_1,"Thứ 5, 04/06/2026, Ca 1: 07g00-09g30",2026-06-04,07:00,150.0,09:30,2026-06-04T07:00:00,2026-06-04T09:30:00,Cơ sở 2,1,DiAn_CBCT; DiAn_Thư ký,2,10,20260604,1,1,True,True,True,True,True,True
20260604_2,"Thứ 5, 04/06/2026, Ca 2: 09g30-12g00",2026-06-04,09:30,150.0,12:00,2026-06-04T09:30:00,2026-06-04T12:00:00,Cơ sở 1; Cơ sở 2,2,DiAn_Thư ký; LTK_CBCT; LTK_Thư ký,3,11,20260604,2,2,True,True,True,True,True,True
20260604_3,"Thứ 5, 04/06/2026, Ca 3: 13g00-15g30",2026-06-04,13:00,150.0,15:30,2026-06-04T13:00:00,2026-06-04T15:30:00,Cơ sở 2,1,DiAn_Thư ký,1,2,20260604,3,3,True,True,True,True,True,True
20260605_2,"Thứ 6, 05/06/2026, Ca 2: 09g30-12g00",2026-06-05,09:30,150.0,12:00,2026-06-05T09:30:00,2026-06-05T12:00:00,Cơ sở 1,1,LTK_CBCT,1,22,20260605,2,2,True,True,True,True,True,True
20260605_3,"Thứ 6, 05/06/2026, Ca 3: 13g00-15g30",2026-06-05,13:00,150.0,15:30,2026-06-05T13:00:00,2026-06-05T15:30:00,Cơ sở 1,1,LTK_CBCT,1,30,20260605,3,3,True,True,True,True,True,True
20260605_4,"Thứ 6, 05/06/2026, Ca 4: 15g30-18g00",2026-06-05,15:30,150.0,18:00,2026-06-05T15:30:00,2026-06-05T18:00:00,Cơ sở 1,1,LTK_CBCT,1,5,20260605,4,4,True,True,True,True,True,True
20260608_1,"Thứ 2, 08/06/2026, Ca 1: 07g00-09g30",2026-06-08,07:00,150.0,09:30,2026-06-08T07:00:00,2026-06-08T09:30:00,,0,DiAn_CBCT; LTK_CBCT,2,2,20260608,1,1,True,True,True,True,True,True
20260608_2,"Thứ 2, 08/06/2026, Ca 2: 09g30-12g00",2026-06-08,09:30,150.0,12:00,2026-06-08T09:30:00,2026-06-08T12:00:00,Cơ sở 1,1,DiAn_CBCT; LTK_CBCT,2,33,20260608,2,2,True,True,True,True,True,True
20260608_3,"Thứ 2, 08/06/2026, Ca 3: 13g00-15g30",2026-06-08,13:00,150.0,15:30,2026-06-08T13:00:00,2026-06-08T15:30:00,Cơ sở 1,1,DiAn_CBCT; LTK_CBCT,2,33,20260608,3,3,True,True,True,True,True,True
20260608_4,"Thứ 2, 08/06/2026, Ca 4: 15g30-18g00",2026-06-08,15:30,150.0,18:00,2026-06-08T15:30:00,2026-06-08T18:00:00,Cơ sở 1,1,DiAn_CBCT; LTK_CBCT,2,7,20260608,4,4,True,True,True,True,True,True
20260609_2,"Thứ 3, 09/06/2026, Ca 2: 09g30-12g00",2026-06-09,09:30,150.0,12:00,2026-06-09T09:30:00,2026-06-09T12:00:00,Cơ sở 1; Cơ sở 2,2,DiAn_CBCT; LTK_Thư ký,2,25,20260609,2,2,True,True,True,True,True,True
20260609_3,"Thứ 3, 09/06/2026, Ca 3: 13g00-15g30",2026-06-09,13:00,150.0,15:30,2026-06-09T13:00:00,2026-06-09T15:30:00,Cơ sở 2,1,DiAn_CBCT; LTK_CBCT,2,15,20260609,3,3,True,True,True,True,True,True
20260609_4,"Thứ 3, 09/06/2026, Ca 4: 15g30-18g00",2026-06-09,15:30,150.0,18:00,2026-06-09T15:30:00,2026-06-09T18:00:00,,0,DiAn_CBCT,1,1,20260609,4,4,True,True,True,True,True,True
20260610_1,"Thứ 4, 10/06/2026, Ca 1: 07g00-09g30",2026-06-10,07:00,150.0,09:30,2026-06-10T07:00:00,2026-06-10T09:30:00,,0,DiAn_CBCT; LTK_CBCT,2,2,20260610,1,1,True,True,True,True,True,True
20260610_2,"Thứ 4, 10/06/2026, Ca 2: 09g30-12g00",2026-06-10,09:30,150.0,12:00,2026-06-10T09:30:00,2026-06-10T12:00:00,,0,DiAn_CBCT,1,1,20260610,2,2,True,True,True,True,True,True
20260610_3,"Thứ 4, 10/06/2026, Ca 3: 13g00-15g30",2026-06-10,13:00,150.0,15:30,2026-06-10T13:00:00,2026-06-10T15:30:00,Cơ sở 1; Cơ sở 2,2,DiAn_CBCT; LTK_Thư ký,2,35,20260610,3,3,True,True,True,True,True,True
20260610_4,"Thứ 4, 10/06/2026, Ca 4: 15g30-18g00",2026-06-10,15:30,150.0,18:00,2026-06-10T15:30:00,2026-06-10T18:00:00,,0,DiAn_CBCT,1,1,20260610,4,4,True,True,True,True,True,True
20260611_1,"Thứ 5, 11/06/2026, Ca1 : 07g00-09g30",2026-06-11,07:00,150.0,09:30,2026-06-11T07:00:00,2026-06-11T09:30:00,,0,DiAn_CBCT,1,1,20260611,1,1,True,True,True,True,True,True
20260611_3,"Thứ 5, 11/06/2026, Ca 3: 13g00-15g30",2026-06-11,13:00,150.0,15:30,2026-06-11T13:00:00,2026-06-11T15:30:00,Cơ sở 1; Cơ sở 2,2,DiAn_CBCT; LTK_Thư ký,2,31,20260611,3,3,True,True,True,True,True,True
20260612_1,"Thứ 6, 12/06/2026, Ca 1: 07g00-09g30",2026-06-12,07:00,150.0,09:30,2026-06-12T07:00:00,2026-06-12T09:30:00,Cơ sở 1,1,DiAn_CBCT; LTK_CBCT,2,32,20260612,1,1,True,True,True,True,True,True
20260612_2,"Thứ 6, 12/06/2026, Ca 2: 09g30-12g00",2026-06-12,09:30,150.0,12:00,2026-06-12T09:30:00,2026-06-12T12:00:00,Cơ sở 1,1,LTK_CBCT,1,6,20260612,2,2,True,True,True,True,True,True
20260612_3,"Thứ 6, 12/06/2026, Ca 3: 13g00-15g30",2026-06-12,13:00,150.0,15:30,2026-06-12T13:00:00,2026-06-12T15:30:00,Cơ sở 1,1,DiAn_CBCT; LTK_CBCT,2,33,20260612,3,3,True,True,True,True,True,True
20260612_4,"Thứ 6, 12/06/2026, Ca 4: 15g30-18g00",2026-06-12,15:30,150.0,18:00,2026-06-12T15:30:00,2026-06-12T18:00:00,Cơ sở 1,1,DiAn_CBCT; LTK_CBCT,2,22,20260612,4,4,True,True,True,True,True,True
20260613_1,"Thứ 7, 13/06/2026, Ca 1: 07g00-09g30",2026-06-13,07:00,150.0,09:30,2026-06-13T07:00:00,2026-06-13T09:30:00,Cơ sở 1,1,LTK_CBCT,1,4,20260613,1,1,True,True,True,True,True,True
20260613_2,"Thứ 7, 13/06/2026, Ca 2: 09g30-12g00",2026-06-13,09:30,150.0,12:00,2026-06-13T09:30:00,2026-06-13T12:00:00,Cơ sở 1; Cơ sở 2,2,DiAn_CBCT; LTK_CBCT,2,8,20260613,2,2,True,True,True,True,True,True
20260613_3,"Thứ 7, 13/06/2026, Ca 3: 13g00-15g30",2026-06-13,13:00,150.0,15:30,2026-06-13T13:00:00,2026-06-13T15:30:00,Cơ sở 1; Cơ sở 2,2,DiAn_CBCT; LTK_CBCT,2,10,20260613,3,3,True,True,True,True,True,True
20260613_4,"Thứ 7, 13/06/2026, Ca 4: 15g30-18g00",2026-06-13,15:30,150.0,18:00,2026-06-13T15:30:00,2026-06-13T18:00:00,Cơ sở 1; Cơ sở 2,2,DiAn_CBCT; LTK_CBCT,2,10,20260613,4,4,True,True,True,True,True,True
