invigilator_id,session_id
CB024,20260603_3
CB025,20260603_3
CB026,20260603_3
CB030,20260603_3
CB031,20260603_3
CB033,20260603_3
CB034,20260603_3
CB035,20260603_3
CB036,20260603_3
CB038,20260603_3
CB040,20260603_3
CB041,20260603_3
CB042,20260603_3
CB044,20260603_3
CB045,20260603_3
CB047,20260603_3
CB054,20260603_3
CB062,20260603_3
CB070,20260603_3
CB007,20260603_4
CB012,20260603_4
CB013,20260603_4
CB015,20260603_4
CB016,20260603_4
CB017,20260603_4
CB019,20260603_4
CB021,20260603_4
CB022,20260603_4
CB023,20260603_4
CB024,20260603_4
CB026,20260603_4
CB031,20260603_4
CB033,20260603_4
CB035,20260603_4
CB036,20260603_4
CB038,20260603_4
CB040,20260603_4
CB045,20260603_4
CB047,20260603_4
CB070,20260603_4
CB007,20260604_1
CB008,20260604_1
CB014,20260604_1
CB038,20260604_1
CB042,20260604_1
CB043,20260604_1
CB053,20260604_1
CB056,20260604_1
CB058,20260604_1
CB062,20260604_1
CB016,20260604_2
CB017,20260604_2
CB024,20260604_2
CB031,20260604_2
CB034,20260604_2
CB041,20260604_2
CB042,20260604_2
CB053,20260604_2
CB056,20260604_2
CB060,20260604_2
CB062,20260604_2
CB053,20260604_3
CB056,20260604_3
CB012,20260605_2
CB013,20260605_2
CB015,20260605_2
CB016,20260605_2
CB017,20260605_2
CB018,20260605_2
CB019,20260605_2
CB021,20260605_2
CB023,20260605_2
CB024,20260605_2
CB026,20260605_2
CB030,20260605_2
CB031,20260605_2
CB033,20260605_2
CB035,20260605_2
CB040,20260605_2
CB044,20260605_2
CB045,20260605_2
CB047,20260605_2
CB049,20260605_2
CB061,20260605_2
CB070,20260605_2
CB011,20260605_3
CB012,20260605_3
CB015,20260605_3
CB016,20260605_3
CB017,20260605_3
CB020,20260605_3
CB022,20260605_3
CB028,20260605_3
CB029,20260605_3
CB032,20260605_3
CB035,20260605_3
CB036,20260605_3
CB037,20260605_3
CB041,20260605_3
CB046,20260605_3
CB048,20260605_3
CB049,20260605_3
CB050,20260605_3
CB051,20260605_3
CB052,20260605_3
CB054,20260605_3
CB055,20260605_3
CB057,20260605_3
CB059,20260605_3
CB060,20260605_3
CB061,20260605_3
CB067,20260605_3
CB068,20260605_3
CB069,20260605_3
CB071,20260605_3
CB028,20260605_4
CB059,20260605_4
CB060,20260605_4
CB061,20260605_4
CB069,20260605_4
CB006,20260608_1
CB063,20260608_1
CB002,20260608_2
CB003,20260608_2
CB006,20260608_2
CB007,20260608_2
CB011,20260608_2
CB016,20260608_2
CB020,20260608_2
CB023,20260608_2
CB026,20260608_2
CB027,20260608_2
CB032,20260608_2
CB033,20260608_2
CB035,20260608_2
CB037,20260608_2
CB038,20260608_2
CB039,20260608_2
CB040,20260608_2
CB042,20260608_2
CB043,20260608_2
CB044,20260608_2
CB045,20260608_2
CB047,20260608_2
CB050,20260608_2
CB052,20260608_2
CB057,20260608_2
CB058,20260608_2
CB062,20260608_2
CB063,20260608_2
CB065,20260608_2
CB068,20260608_2
CB069,20260608_2
CB071,20260608_2
CB072,20260608_2
CB006,20260608_3
CB007,20260608_3
CB011,20260608_3
CB020,20260608_3
CB023,20260608_3
CB026,20260608_3
CB027,20260608_3
CB032,20260608_3
CB033,20260608_3
CB035,20260608_3
CB037,20260608_3
CB038,20260608_3
CB039,20260608_3
CB040,20260608_3
CB042,20260608_3
CB043,20260608_3
CB044,20260608_3
CB045,20260608_3
CB047,20260608_3
CB050,20260608_3
CB052,20260608_3
CB055,20260608_3
CB057,20260608_3
CB058,20260608_3
CB059,20260608_3
CB062,20260608_3
CB063,20260608_3
CB064,20260608_3
CB065,20260608_3
CB068,20260608_3
CB069,20260608_3
CB071,20260608_3
CB072,20260608_3
CB006,20260608_4
CB007,20260608_4
CB056,20260608_4
CB058,20260608_4
CB059,20260608_4
CB063,20260608_4
CB065,20260608_4
CB007,20260609_2
CB008,20260609_2
CB009,20260609_2
CB016,20260609_2
CB017,20260609_2
CB018,20260609_2
CB019,20260609_2
CB020,20260609_2
CB022,20260609_2
CB024,20260609_2
CB025,20260609_2
CB026,20260609_2
CB033,20260609_2
CB034,20260609_2
CB038,20260609_2
CB039,20260609_2
CB040,20260609_2
CB042,20260609_2
CB045,20260609_2
CB047,20260609_2
CB048,20260609_2
CB049,20260609_2
CB054,20260609_2
CB071,20260609_2
CB072,20260609_2
CB006,20260609_3
CB007,20260609_3
CB008,20260609_3
CB009,20260609_3
CB022,20260609_3
CB033,20260609_3
CB034,20260609_3
CB038,20260609_3
CB039,20260609_3
CB042,20260609_3
CB045,20260609_3
CB048,20260609_3
CB049,20260609_3
CB065,20260609_3
CB071,20260609_3
CB063,20260609_4
CB006,20260610_1
CB063,20260610_1
CB063,20260610_2
CB005,20260610_3
CB006,20260610_3
CB009,20260610_3
CB013,20260610_3
CB014,20260610_3
CB016,20260610_3
CB021,20260610_3
CB023,20260610_3
CB025,20260610_3
CB028,20260610_3
CB030,20260610_3
CB032,20260610_3
CB037,20260610_3
CB038,20260610_3
CB041,20260610_3
CB042,20260610_3
CB043,20260610_3
CB044,20260610_3
CB046,20260610_3
CB049,20260610_3
CB050,20260610_3
CB053,20260610_3
CB054,20260610_3
CB055,20260610_3
CB056,20260610_3
CB057,20260610_3
CB058,20260610_3
CB059,20260610_3
CB060,20260610_3
CB062,20260610_3
CB063,20260610_3
CB065,20260610_3
CB069,20260610_3
CB072,20260610_3
CB073,20260610_3
CB063,20260610_4
CB063,20260611_1
CB007,20260611_3
CB009,20260611_3
CB012,20260611_3
CB014,20260611_3
CB017,20260611_3
CB019,20260611_3
CB020,20260611_3
CB022,20260611_3
CB025,20260611_3
CB026,20260611_3
CB030,20260611_3
CB032,20260611_3
CB033,20260611_3
CB034,20260611_3
CB039,20260611_3
CB040,20260611_3
CB041,20260611_3
CB044,20260611_3
CB045,20260611_3
CB047,20260611_3
CB048,20260611_3
CB049,20260611_3
CB051,20260611_3
CB054,20260611_3
CB056,20260611_3
CB057,20260611_3
CB059,20260611_3
CB062,20260611_3
CB068,20260611_3
CB069,20260611_3
CB071,20260611_3
CB006,20260612_1
CB008,20260612_1
CB009,20260612_1
CB010,20260612_1
CB011,20260612_1
CB012,20260612_1
CB013,20260612_1
CB014,20260612_1
CB015,20260612_1
CB019,20260612_1
CB021,20260612_1
CB022,20260612_1
CB024,20260612_1
CB031,20260612_1
CB036,20260612_1
CB037,20260612_1
CB042,20260612_1
CB046,20260612_1
CB047,20260612_1
CB049,20260612_1
CB050,20260612_1
CB053,20260612_1
CB054,20260612_1
CB055,20260612_1
CB056,20260612_1
CB059,20260612_1
CB063,20260612_1
CB067,20260612_1
CB068,20260612_1
CB069,20260612_1
CB070,20260612_1
CB072,20260612_1
CB006,20260612_2
CB028,20260612_2
CB029,20260612_2
CB032,20260612_2
CB065,20260612_2
CB069,20260612_2
CB006,20260612_3
CB008,20260612_3
CB009,20260612_3
CB010,20260612_3
CB011,20260612_3
CB012,20260612_3
CB013,20260612_3
CB014,20260612_3
CB015,20260612_3
CB021,20260612_3
CB022,20260612_3
CB024,20260612_3
CB028,20260612_3
CB029,20260612_3
CB031,20260612_3
CB032,20260612_3
CB036,20260612_3
CB046,20260612_3
CB050,20260612_3
CB051,20260612_3
CB052,20260612_3
CB053,20260612_3
CB054,20260612_3
CB055,20260612_3
CB056,20260612_3
CB058,20260612_3
CB059,20260612_3
CB063,20260612_3
CB065,20260612_3
CB067,20260612_3
CB069,20260612_3
CB070,20260612_3
CB072,20260612_3
CB008,20260612_4
CB009,20260612_4
CB010,20260612_4
CB013,20260612_4
CB014,20260612_4
CB028,20260612_4
CB029,20260612_4
CB031,20260612_4
CB032,20260612_4
CB036,20260612_4
CB046,20260612_4
CB050,20260612_4
CB051,20260612_4
CB052,20260612_4
CB053,20260612_4
CB054,20260612_4
CB055,20260612_4
CB056,20260612_4
CB058,20260612_4
CB063,20260612_4
CB067,20260612_4
CB070,20260612_4
CB001,20260613_1
CB002,20260613_1
CB064,20260613_1
CB066,20260613_1
CB001,20260613_2
CB003,20260613_2
CB005,20260613_2
CB017,20260613_2
CB018,20260613_2
CB063,20260613_2
CB066,20260613_2
CB073,20260613_2
CB001,20260613_3
CB002,20260613_3
CB003,20260613_3
CB005,20260613_3
CB018,20260613_3
CB020,20260613_3
CB034,20260613_3
CB063,20260613_3
CB066,20260613_3
CB073,20260613_3
CB001,20260613_4
CB002,20260613_4
CB003,20260613_4
CB005,20260613_4
CB018,20260613_4
CB020,20260613_4
CB034,20260613_4
CB063,20260613_4
CB066,20260613_4
CB073,20260613_4
