shift_description,date,start_time,end_time,duration_minutes,shift_id,task,invigilator_id,weekday,campus
"Thứ 2, 25/05/2026, Ca 5: 18g15-20g45",2026-05-25,18:15,20:45,150,20260525_5,LTK_CBCT,CB002,Thứ 2,Cơ sở 1
"Thứ 2, 25/05/2026, Ca 5: 18g15-20g45",2026-05-25,18:15,20:45,150,20260525_5,LTK_CBCT,CB004,Thứ 2,Cơ sở 1
"Thứ 3, 26/05/2026, Ca 5: 18g15-20g45",2026-05-26,18:15,20:45,150,20260526_5,LTK_CBCT,CB003,Thứ 3,Cơ sở 1
"Thứ 3, 26/05/2026, Ca 5: 18g15-20g45",2026-05-26,18:15,20:45,150,20260526_5,LTK_CBCT,CB005,Thứ 3,Cơ sở 1
"Thứ 4, 27/05/2026, Ca 2: 09g30-12g00",2026-05-27,09:30,12:00,150,20260527_2,DiAn_Thư ký,CB025,Thứ 4,Cơ sở 2
"Thứ 4, 27/05/2026, Ca 2: 09g30-12g00",2026-05-27,09:30,12:00,150,20260527_2,DiAn_Thư ký,CB026,Thứ 4,Cơ sở 2
"Thứ 4, 27/05/2026, Ca 4: 15g30-18g00",2026-05-27,15:30,18:00,150,20260527_4,LTK_Trưởng HĐ,CB027,Thứ 4,Cơ sở 1
"Thứ 4, 27/05/2026, Ca 5: 18g15-20g45",2026-05-27,18:15,20:45,150,20260527_5,LTK_CBCT,CB003,Thứ 4,Cơ sở 1
"Thứ 4, 27/05/2026, Ca 5: 18g15-20g45",2026-05-27,18:15,20:45,150,20260527_5,LTK_CBCT,CB004,Thứ 4,Cơ sở 1
"Thứ 4, 27/05/2026, Ca 5: 18g15-20g45",2026-05-27,18:15,20:45,150,20260527_5,LTK_CBCT,CB002,Thứ 4,Cơ sở 1
"Thứ 4, 27/05/2026, Ca 5: 18g15-20g45",2026-05-27,18:15,20:45,150,20260527_5,LTK_Trưởng HĐ,CB028,Thứ 4,Cơ sở 1
"Thứ 5, 28/05/2026, Ca 1: 07g00-09g30",2026-05-28,07:00,09:30,150,20260528_1,LTK_Trưởng HĐ,CB029,Thứ 5,Cơ sở 1
"Thứ 5, 28/05/2026, Ca 2: 09g30-12g00",2026-05-28,09:30,12:00,150,20260528_2,LTK_Trưởng HĐ,CB029,Thứ 5,Cơ sở 1
"Thứ 5, 28/05/2026, Ca 3: 13g00-15g30",2026-05-28,13:00,15:30,150,20260528_3,DiAn_CBCT,CB030,Thứ 5,Cơ sở 2
"Thứ 5, 28/05/2026, Ca 3: 13g00-15g30",2026-05-28,13:00,15:30,150,20260528_3,DiAn_CBCT,CB031,Thứ 5,Cơ sở 2
"Thứ 5, 28/05/2026, Ca 3: 13g00-15g30",2026-05-28,13:00,15:30,150,20260528_3,DiAn_CBCT,CB032,Thứ 5,Cơ sở 2
"Thứ 5, 28/05/2026, Ca 3: 13g00-15g30",2026-05-28,13:00,15:30,150,20260528_3,DiAn_CBCT,CB033,Thứ 5,Cơ sở 2
"Thứ 5, 28/05/2026, Ca 3: 13g00-15g30",2026-05-28,13:00,15:30,150,20260528_3,DiAn_CBCT,CB034,Thứ 5,Cơ sở 2
"Thứ 5, 28/05/2026, Ca 3: 13g00-15g30",2026-05-28,13:00,15:30,150,20260528_3,DiAn_CBCT,CB035,Thứ 5,Cơ sở 2
"Thứ 5, 28/05/2026, Ca 3: 13g00-15g30",2026-05-28,13:00,15:30,150,20260528_3,DiAn_CBCT,CB036,Thứ 5,Cơ sở 2
"Thứ 5, 28/05/2026, Ca 3: 13g00-15g30",2026-05-28,13:00,15:30,150,20260528_3,DiAn_CBCT,CB037,Thứ 5,Cơ sở 2
"Thứ 5, 28/05/2026, Ca 3: 13g00-15g30",2026-05-28,13:00,15:30,150,20260528_3,DiAn_CBCT,CB038,Thứ 5,Cơ sở 2
"Thứ 5, 28/05/2026, Ca 3: 13g00-15g30",2026-05-28,13:00,15:30,150,20260528_3,DiAn_CBCT,CB012,Thứ 5,Cơ sở 2
"Thứ 5, 28/05/2026, Ca 3: 13g00-15g30",2026-05-28,13:00,15:30,150,20260528_3,DiAn_CBCT,CB039,Thứ 5,Cơ sở 2
"Thứ 5, 28/05/2026, Ca 3: 13g00-15g30",2026-05-28,13:00,15:30,150,20260528_3,DiAn_CBCT,CB007,Thứ 5,Cơ sở 2
"Thứ 5, 28/05/2026, Ca 3: 13g00-15g30",2026-05-28,13:00,15:30,150,20260528_3,DiAn_Thư ký,CB040,Thứ 5,Cơ sở 2
"Thứ 5, 28/05/2026, Ca 3: 13g00-15g30",2026-05-28,13:00,15:30,150,20260528_3,DiAn_Thư ký,CB026,Thứ 5,Cơ sở 2
"Thứ 5, 28/05/2026, Ca 3: 13g00-15g30",2026-05-28,13:00,15:30,150,20260528_3,LTK_Trưởng HĐ,CB010,Thứ 5,Cơ sở 1
"Thứ 5, 28/05/2026, Ca 4: 15g30-18g00",2026-05-28,15:30,18:00,150,20260528_4,LTK_Trưởng HĐ,CB010,Thứ 5,Cơ sở 1
"Thứ 5, 28/05/2026, Ca 5: 18g15-20g45",2026-05-28,18:15,20:45,150,20260528_5,LTK_CBCT,CB003,Thứ 5,Cơ sở 1
"Thứ 5, 28/05/2026, Ca 5: 18g15-20g45",2026-05-28,18:15,20:45,150,20260528_5,LTK_CBCT,CB005,Thứ 5,Cơ sở 1
"Thứ 5, 28/05/2026, Ca 5: 18g15-20g45",2026-05-28,18:15,20:45,150,20260528_5,LTK_Trưởng HĐ,CB010,Thứ 5,Cơ sở 1
"Thứ 6, 29/05/2026, Ca 1: 07g00-09g30",2026-05-29,07:00,09:30,150,20260529_1,DiAn_CBCT,CB041,Thứ 6,Cơ sở 2
"Thứ 6, 29/05/2026, Ca 1: 07g00-09g30",2026-05-29,07:00,09:30,150,20260529_1,DiAn_CBCT,CB042,Thứ 6,Cơ sở 2
"Thứ 6, 29/05/2026, Ca 1: 07g00-09g30",2026-05-29,07:00,09:30,150,20260529_1,DiAn_CBCT,CB043,Thứ 6,Cơ sở 2
"Thứ 6, 29/05/2026, Ca 1: 07g00-09g30",2026-05-29,07:00,09:30,150,20260529_1,DiAn_CBCT,CB039,Thứ 6,Cơ sở 2
"Thứ 6, 29/05/2026, Ca 1: 07g00-09g30",2026-05-29,07:00,09:30,150,20260529_1,DiAn_CBCT,CB044,Thứ 6,Cơ sở 2
"Thứ 6, 29/05/2026, Ca 1: 07g00-09g30",2026-05-29,07:00,09:30,150,20260529_1,DiAn_CBCT,CB029,Thứ 6,Cơ sở 2
"Thứ 6, 29/05/2026, Ca 1: 07g00-09g30",2026-05-29,07:00,09:30,150,20260529_1,DiAn_CBCT,CB045,Thứ 6,Cơ sở 2
"Thứ 6, 29/05/2026, Ca 1: 07g00-09g30",2026-05-29,07:00,09:30,150,20260529_1,DiAn_CBCT,CB046,Thứ 6,Cơ sở 2
"Thứ 6, 29/05/2026, Ca 1: 07g00-09g30",2026-05-29,07:00,09:30,150,20260529_1,DiAn_CBCT,CB047,Thứ 6,Cơ sở 2
"Thứ 6, 29/05/2026, Ca 1: 07g00-09g30",2026-05-29,07:00,09:30,150,20260529_1,DiAn_CBCT,CB008,Thứ 6,Cơ sở 2
"Thứ 6, 29/05/2026, Ca 1: 07g00-09g30",2026-05-29,07:00,09:30,150,20260529_1,DiAn_CBCT,CB048,Thứ 6,Cơ sở 2
"Thứ 6, 29/05/2026, Ca 1: 07g00-09g30",2026-05-29,07:00,09:30,150,20260529_1,DiAn_CBCT,CB049,Thứ 6,Cơ sở 2
"Thứ 6, 29/05/2026, Ca 1: 07g00-09g30",2026-05-29,07:00,09:30,150,20260529_1,DiAn_CBCT,CB020,Thứ 6,Cơ sở 2
"Thứ 6, 29/05/2026, Ca 1: 07g00-09g30",2026-05-29,07:00,09:30,150,20260529_1,DiAn_CBCT,CB050,Thứ 6,Cơ sở 2
"Thứ 6, 29/05/2026, Ca 1: 07g00-09g30",2026-05-29,07:00,09:30,150,20260529_1,DiAn_CBCT,CB022,Thứ 6,Cơ sở 2
"Thứ 6, 29/05/2026, Ca 1: 07g00-09g30",2026-05-29,07:00,09:30,150,20260529_1,DiAn_CBCT,CB051,Thứ 6,Cơ sở 2
"Thứ 6, 29/05/2026, Ca 1: 07g00-09g30",2026-05-29,07:00,09:30,150,20260529_1,DiAn_CBCT,CB010,Thứ 6,Cơ sở 2
"Thứ 6, 29/05/2026, Ca 1: 07g00-09g30",2026-05-29,07:00,09:30,150,20260529_1,DiAn_CBCT,CB052,Thứ 6,Cơ sở 2
"Thứ 6, 29/05/2026, Ca 1: 07g00-09g30",2026-05-29,07:00,09:30,150,20260529_1,DiAn_CBCT,CB053,Thứ 6,Cơ sở 2
"Thứ 6, 29/05/2026, Ca 1: 07g00-09g30",2026-05-29,07:00,09:30,150,20260529_1,DiAn_CBCT,CB054,Thứ 6,Cơ sở 2
"Thứ 6, 29/05/2026, Ca 1: 07g00-09g30",2026-05-29,07:00,09:30,150,20260529_1,DiAn_CBCT,CB055,Thứ 6,Cơ sở 2
"Thứ 6, 29/05/2026, Ca 1: 07g00-09g30",2026-05-29,07:00,09:30,150,20260529_1,DiAn_CBCT,CB056,Thứ 6,Cơ sở 2
"Thứ 6, 29/05/2026, Ca 1: 07g00-09g30",2026-05-29,07:00,09:30,150,20260529_1,DiAn_CBCT,CB014,Thứ 6,Cơ sở 2
"Thứ 6, 29/05/2026, Ca 1: 07g00-09g30",2026-05-29,07:00,09:30,150,20260529_1,DiAn_CBCT,CB057,Thứ 6,Cơ sở 2
"Thứ 6, 29/05/2026, Ca 1: 07g00-09g30",2026-05-29,07:00,09:30,150,20260529_1,DiAn_CBCT,CB058,Thứ 6,Cơ sở 2
"Thứ 6, 29/05/2026, Ca 1: 07g00-09g30",2026-05-29,07:00,09:30,150,20260529_1,DiAn_CBCT,CB059,Thứ 6,Cơ sở 2
"Thứ 6, 29/05/2026, Ca 1: 07g00-09g30",2026-05-29,07:00,09:30,150,20260529_1,DiAn_CBCT,CB060,Thứ 6,Cơ sở 2
"Thứ 6, 29/05/2026, Ca 1: 07g00-09g30",2026-05-29,07:00,09:30,150,20260529_1,DiAn_CBCT,CB028,Thứ 6,Cơ sở 2
"Thứ 6, 29/05/2026, Ca 1: 07g00-09g30",2026-05-29,07:00,09:30,150,20260529_1,DiAn_CBCT,CB061,Thứ 6,Cơ sở 2
"Thứ 6, 29/05/2026, Ca 1: 07g00-09g30",2026-05-29,07:00,09:30,150,20260529_1,DiAn_CBCT,CB062,Thứ 6,Cơ sở 2
"Thứ 6, 29/05/2026, Ca 1: 07g00-09g30",2026-05-29,07:00,09:30,150,20260529_1,DiAn_Thư ký,CB063,Thứ 6,Cơ sở 2
"Thứ 6, 29/05/2026, Ca 1: 07g00-09g30",2026-05-29,07:00,09:30,150,20260529_1,LTK_Trưởng HĐ,CB027,Thứ 6,Cơ sở 1
"Thứ 6, 29/05/2026, Ca 2: 09g30-12g00",2026-05-29,09:30,12:00,150,20260529_2,LTK_Trưởng HĐ,CB027,Thứ 6,Cơ sở 1
"Thứ 6, 29/05/2026, Ca 3: 13g00-15g30",2026-05-29,13:00,15:30,150,20260529_3,LTK_Trưởng HĐ,CB027,Thứ 6,Cơ sở 1
"Thứ 6, 29/05/2026, Ca 5: 18g15-20g45",2026-05-29,18:15,20:45,150,20260529_5,LTK_CBCT,CB004,Thứ 6,Cơ sở 1
"Thứ 6, 29/05/2026, Ca 5: 18g15-20g45",2026-05-29,18:15,20:45,150,20260529_5,LTK_CBCT,CB003,Thứ 6,Cơ sở 1
"Thứ 6, 29/05/2026, Ca 5: 18g15-20g45",2026-05-29,18:15,20:45,150,20260529_5,LTK_CBCT,CB064,Thứ 6,Cơ sở 1
"Thứ 7, 30/05/2026, Ca 2: 09g30-12g00",2026-05-30,09:30,12:00,150,20260530_2,LTK_CBCT,CB065,Thứ 7,Cơ sở 1
"Thứ 7, 30/05/2026, Ca 2: 09g30-12g00",2026-05-30,09:30,12:00,150,20260530_2,LTK_CBCT,CB066,Thứ 7,Cơ sở 1
"Thứ 7, 30/05/2026, Ca 2: 09g30-12g00",2026-05-30,09:30,12:00,150,20260530_2,LTK_CBCT,CB004,Thứ 7,Cơ sở 1
"Thứ 7, 30/05/2026, Ca 2: 09g30-12g00",2026-05-30,09:30,12:00,150,20260530_2,LTK_CBCT,CB001,Thứ 7,Cơ sở 1
"Thứ 7, 30/05/2026, Ca 3: 13g00-15g30",2026-05-30,13:00,15:30,150,20260530_3,LTK_CBCT,CB065,Thứ 7,Cơ sở 1
"Thứ 7, 30/05/2026, Ca 3: 13g00-15g30",2026-05-30,13:00,15:30,150,20260530_3,LTK_CBCT,CB066,Thứ 7,Cơ sở 1
"Thứ 7, 30/05/2026, Ca 3: 13g00-15g30",2026-05-30,13:00,15:30,150,20260530_3,LTK_CBCT,CB004,Thứ 7,Cơ sở 1
"Thứ 7, 30/05/2026, Ca 3: 13g00-15g30",2026-05-30,13:00,15:30,150,20260530_3,LTK_CBCT,CB001,Thứ 7,Cơ sở 1
"Chủ Nhật, 31/05/2026, Ca 2: 09g30-12g00",2026-05-31,09:30,12:00,150,20260531_2,LTK_CBCT,CB006,Chủ Nhật,Cơ sở 1
"Chủ Nhật, 31/05/2026, Ca 2: 09g30-12g00",2026-05-31,09:30,12:00,150,20260531_2,LTK_CBCT,CB002,Chủ Nhật,Cơ sở 1
"Chủ Nhật, 31/05/2026, Ca 2: 09g30-12g00",2026-05-31,09:30,12:00,150,20260531_2,LTK_CBCT,CB066,Chủ Nhật,Cơ sở 1
"Chủ Nhật, 31/05/2026, Ca 2: 09g30-12g00",2026-05-31,09:30,12:00,150,20260531_2,LTK_CBCT,CB001,Chủ Nhật,Cơ sở 1
"Chủ Nhật, 31/05/2026, Ca 3: 13g00-15g30",2026-05-31,13:00,15:30,150,20260531_3,LTK_CBCT,CB006,Chủ Nhật,Cơ sở 1
"Chủ Nhật, 31/05/2026, Ca 3: 13g00-15g30",2026-05-31,13:00,15:30,150,20260531_3,LTK_CBCT,CB002,Chủ Nhật,Cơ sở 1
"Chủ Nhật, 31/05/2026, Ca 3: 13g00-15g30",2026-05-31,13:00,15:30,150,20260531_3,LTK_CBCT,CB066,Chủ Nhật,Cơ sở 1
"Chủ Nhật, 31/05/2026, Ca 3: 13g00-15g30",2026-05-31,13:00,15:30,150,20260531_3,LTK_CBCT,CB001,Chủ Nhật,Cơ sở 1
"Thứ 2, 01/06/2026, Ca 1: 07g00-09g30",2026-06-01,07:00,09:30,150,20260601_1,DiAn_Trưởng HĐ,CB028,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 2: 09g30-12g00",2026-06-01,09:30,12:00,150,20260601_2,DiAn_CBCT,CB041,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 2: 09g30-12g00",2026-06-01,09:30,12:00,150,20260601_2,DiAn_CBCT,CB032,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 2: 09g30-12g00",2026-06-01,09:30,12:00,150,20260601_2,DiAn_CBCT,CB046,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 2: 09g30-12g00",2026-06-01,09:30,12:00,150,20260601_2,DiAn_CBCT,CB067,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 2: 09g30-12g00",2026-06-01,09:30,12:00,150,20260601_2,DiAn_CBCT,CB008,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 2: 09g30-12g00",2026-06-01,09:30,12:00,150,20260601_2,DiAn_CBCT,CB048,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 2: 09g30-12g00",2026-06-01,09:30,12:00,150,20260601_2,DiAn_CBCT,CB049,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 2: 09g30-12g00",2026-06-01,09:30,12:00,150,20260601_2,DiAn_CBCT,CB020,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 2: 09g30-12g00",2026-06-01,09:30,12:00,150,20260601_2,DiAn_CBCT,CB050,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 2: 09g30-12g00",2026-06-01,09:30,12:00,150,20260601_2,DiAn_CBCT,CB018,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 2: 09g30-12g00",2026-06-01,09:30,12:00,150,20260601_2,DiAn_CBCT,CB051,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 2: 09g30-12g00",2026-06-01,09:30,12:00,150,20260601_2,DiAn_CBCT,CB016,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 2: 09g30-12g00",2026-06-01,09:30,12:00,150,20260601_2,DiAn_CBCT,CB052,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 2: 09g30-12g00",2026-06-01,09:30,12:00,150,20260601_2,DiAn_CBCT,CB053,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 2: 09g30-12g00",2026-06-01,09:30,12:00,150,20260601_2,DiAn_CBCT,CB044,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 2: 09g30-12g00",2026-06-01,09:30,12:00,150,20260601_2,DiAn_CBCT,CB055,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 2: 09g30-12g00",2026-06-01,09:30,12:00,150,20260601_2,DiAn_CBCT,CB056,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 2: 09g30-12g00",2026-06-01,09:30,12:00,150,20260601_2,DiAn_CBCT,CB014,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 2: 09g30-12g00",2026-06-01,09:30,12:00,150,20260601_2,DiAn_CBCT,CB057,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 2: 09g30-12g00",2026-06-01,09:30,12:00,150,20260601_2,DiAn_CBCT,CB058,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 2: 09g30-12g00",2026-06-01,09:30,12:00,150,20260601_2,DiAn_CBCT,CB059,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 2: 09g30-12g00",2026-06-01,09:30,12:00,150,20260601_2,DiAn_CBCT,CB060,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 2: 09g30-12g00",2026-06-01,09:30,12:00,150,20260601_2,DiAn_CBCT,CB068,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 2: 09g30-12g00",2026-06-01,09:30,12:00,150,20260601_2,DiAn_CBCT,CB061,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 2: 09g30-12g00",2026-06-01,09:30,12:00,150,20260601_2,DiAn_CBCT,CB062,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 2: 09g30-12g00",2026-06-01,09:30,12:00,150,20260601_2,DiAn_CBCT,CB010,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 2: 09g30-12g00",2026-06-01,09:30,12:00,150,20260601_2,DiAn_CBCT,CB006,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 2: 09g30-12g00",2026-06-01,09:30,12:00,150,20260601_2,DiAn_CBCT,CB065,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 2: 09g30-12g00",2026-06-01,09:30,12:00,150,20260601_2,DiAn_CBCT,CB019,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 2: 09g30-12g00",2026-06-01,09:30,12:00,150,20260601_2,DiAn_CBCT,CB043,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 2: 09g30-12g00",2026-06-01,09:30,12:00,150,20260601_2,DiAn_Thư ký,CB039,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 2: 09g30-12g00",2026-06-01,09:30,12:00,150,20260601_2,DiAn_Trưởng HĐ,CB028,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 3: 13g00-15g30",2026-06-01,13:00,15:30,150,20260601_3,DiAn_CBCT,CB067,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 3: 13g00-15g30",2026-06-01,13:00,15:30,150,20260601_3,DiAn_CBCT,CB008,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 3: 13g00-15g30",2026-06-01,13:00,15:30,150,20260601_3,DiAn_CBCT,CB048,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 3: 13g00-15g30",2026-06-01,13:00,15:30,150,20260601_3,DiAn_CBCT,CB044,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 3: 13g00-15g30",2026-06-01,13:00,15:30,150,20260601_3,DiAn_CBCT,CB041,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 3: 13g00-15g30",2026-06-01,13:00,15:30,150,20260601_3,DiAn_CBCT,CB050,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 3: 13g00-15g30",2026-06-01,13:00,15:30,150,20260601_3,DiAn_CBCT,CB018,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 3: 13g00-15g30",2026-06-01,13:00,15:30,150,20260601_3,DiAn_CBCT,CB051,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 3: 13g00-15g30",2026-06-01,13:00,15:30,150,20260601_3,DiAn_CBCT,CB032,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 3: 13g00-15g30",2026-06-01,13:00,15:30,150,20260601_3,DiAn_CBCT,CB052,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 3: 13g00-15g30",2026-06-01,13:00,15:30,150,20260601_3,DiAn_CBCT,CB053,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 3: 13g00-15g30",2026-06-01,13:00,15:30,150,20260601_3,DiAn_CBCT,CB039,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 3: 13g00-15g30",2026-06-01,13:00,15:30,150,20260601_3,DiAn_CBCT,CB055,Thứ 2,Cơ sở 2
"Thứ 2, 01/06/2026, Ca 3: 13g00-15g30",2026-06-01,13:00,15:30,150,20260601_3,DiAn_CBCT,CB056,Thứ 2,Cơ sở 2
